participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
06F824C0E70043649B07F6BAA528B658,I have never heard of this university,8,KTH Royal Institute of Technology,0.0,21.25,-13.25,Never heard
44FFB8F0481344DBACD4C9619DEF7E26,I have never heard of this university,78,KTH Royal Institute of Technology,0.0,59.7,18.299999999999997,Never heard
32CF00ADB1FB42ABA6ECDFD8C63BF3F7,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,42.25,7.75,Never heard
BD4E57AB370D4528A3DF938AE8F27B01,I have never heard of this university,94,KTH Royal Institute of Technology,0.0,90.95,3.049999999999997,Never heard
6AC71943F1C544D1B30EB1036D21CA0D,I have never heard of this university,52,KTH Royal Institute of Technology,0.0,59.85,-7.850000000000001,Never heard
8E6F027C1F914BEEB26C9D5E528BE427,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,41.85,8.149999999999999,Never heard
012B4E05E38645C787ADD8FC4C076D2F,I have never heard of this university,72,KTH Royal Institute of Technology,0.0,43.0,29.0,Never heard
F861EB444C1E4E5E8DFBDC8BE8DA8220,I have never heard of this university,19,KTH Royal Institute of Technology,0.0,28.1,-9.100000000000001,Never heard
8E3466454A314C85BB25FB2C97A4B0D7,I have never heard of this university,52,KTH Royal Institute of Technology,0.0,60.0,-8.0,Never heard
3D7D72CEA1F6413D961CE185176CE502,I have never heard of this university,56,KTH Royal Institute of Technology,0.0,65.05,-9.049999999999997,Never heard
ED3568FECEB9427CAEEF86F3460C6B8A,I have never heard of this university,76,KTH Royal Institute of Technology,0.0,79.0,-3.0,Never heard
0A79EE9ED56E4610A3DDC4838DD31548,I have never heard of this university,85,KTH Royal Institute of Technology,0.0,79.0,6.0,Never heard
2649AA17B0054500A9C624077A71F95E,I have never heard of this university,85,KTH Royal Institute of Technology,0.0,63.4,21.6,Never heard
086CA0EE50924484BA40BE283B35A167,I have never heard of this university,60,KTH Royal Institute of Technology,0.0,44.55,15.450000000000003,Never heard
09A54B497E63405482AE17D913E2D5C2,I have never heard of this university,4,KTH Royal Institute of Technology,0.0,15.45,-11.45,Never heard
4068D798CA4F443EBDA0836A346C7FAA,I have never heard of this university,51,KTH Royal Institute of Technology,0.0,44.0,7.0,Never heard
EE5F963F39674CACA41B0DDC1595BFC0,I have never heard of this university,10,KTH Royal Institute of Technology,0.0,13.55,-3.5500000000000007,Never heard
9C9BF153F23143F28476E316F8F2010D,I have never heard of this university,36,KTH Royal Institute of Technology,0.0,19.25,16.75,Never heard
8BCB509032C148C7B1809382C5D2D30B,I am somewhat familiar with it,69,KTH Royal Institute of Technology,0.6,70.1,-1.0999999999999943,Heard
C9A88F513C0D43FEAAB91ABE7D2A2DFB,I have never heard of this university,90,KTH Royal Institute of Technology,0.0,82.25,7.75,Never heard
43B38C5A971146D5A03772B7DE77B79F,I have never heard of this university,90,KTH Royal Institute of Technology,0.0,69.65,20.349999999999994,Never heard
BE40A747DDDC4C159920E7D896B0C43B,I have never heard of this university,20,KTH Royal Institute of Technology,0.0,23.3,-3.3000000000000007,Never heard
E64CD767B60A44B3AD2ADED7AE7B102E,I have never heard of this university,15,KTH Royal Institute of Technology,0.0,17.0,-2.0,Never heard
CA5C57C8B03848C0932DBDEA6A6098F9,I have never heard of this university,69,KTH Royal Institute of Technology,0.0,49.7,19.299999999999997,Never heard
D8F75C14EAF24D879F6D31BBCCB9D69B,I have never heard of this university,75,KTH Royal Institute of Technology,0.0,61.25,13.75,Never heard
C5F739838F84491FBB3DF6EB57A21B8C,I have never heard of this university,70,KTH Royal Institute of Technology,0.0,69.1,0.9000000000000057,Never heard
752C3F34BECF4DD5B82BF6A06BDC15A6,I have never heard of this university,82,KTH Royal Institute of Technology,0.0,71.05,10.950000000000003,Never heard
DA69570119B24065909EFD08179AB45A,I have never heard of this university,51,KTH Royal Institute of Technology,0.0,42.6,8.399999999999999,Never heard
66D0B254AB944CC38DD3DC8F212C6D66,I have never heard of this university,70,KTH Royal Institute of Technology,0.0,72.7,-2.700000000000003,Never heard
38C7B4CC15C54D5F98F166C1BD1995F2,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,49.95,0.04999999999999716,Never heard
3BB9F558B79A4B22A71CF00356573354,I have never heard of this university,80,KTH Royal Institute of Technology,0.0,70.0,10.0,Never heard
A564C1C5538C48D0874D3CC48612419D,I have never heard of this university,27,KTH Royal Institute of Technology,0.0,39.6,-12.600000000000001,Never heard
BE48927354EC40329D644A03693519C9,I have never heard of this university,65,KTH Royal Institute of Technology,0.0,65.5,-0.5,Never heard
23B7335472A1407BA6C9CDF60958C918,I have never heard of this university,44,KTH Royal Institute of Technology,0.0,49.1,-5.100000000000001,Never heard
0C2FBF0AC86342FE9EC2B6FBA2407A60,I have never heard of this university,50,KTH Royal Institute of Technology,0.0,56.35,-6.350000000000001,Never heard
3DD4464BB2A5434DA776B499B7D4BEE8,I have never heard of this university,73,KTH Royal Institute of Technology,0.0,62.95,10.049999999999997,Never heard
CA98B80CF2DD496FA96DF87A76EE59D0,I have never heard of this university,98,KTH Royal Institute of Technology,0.0,87.55,10.450000000000003,Never heard
4F9F4E86E246433F89623B433B1AB8B8,"I have heard of it, but I am not familiar with it",79,KTH Royal Institute of Technology,0.33,79.05,-0.04999999999999716,Heard
